Fuel Type,Energy Generation,Energy Units,Location,Period
estimated small scale solar photovoltaic,37.33642,thousand megawatthours,CO,2019-12
biomass,13.91195,thousand megawatthours,CO,2019-11
wood and wood wastes,7.968,thousand megawatthours,CO,2019-11
onshore wind turbine,939.51669,thousand megawatthours,CO,2019-11
wind,939.51669,thousand megawatthours,CO,2019-11
renewable waste products,5.94395,thousand megawatthours,CO,2019-11
estimated total solar,110.28846,thousand megawatthours,CO,2019-11
estimated total solar photovoltaic,110.28846,thousand megawatthours,CO,2019-11
solar,69.83532,thousand megawatthours,CO,2019-11
solar photovoltaic,69.83532,thousand megawatthours,CO,2019-11
renewable,1127.2143,thousand megawatthours,CO,2019-11
estimated small scale solar photovoltaic,40.45314,thousand megawatthours,CO,2019-11
solar,107.89662,thousand megawatthours,CO,2019-10
solar photovoltaic,107.89662,thousand megawatthours,CO,2019-10
renewable,1171.09721,thousand megawatthours,CO,2019-10
estimated small scale solar photovoltaic,50.09264,thousand megawatthours,CO,2019-10
biomass,13.98957,thousand megawatthours,CO,2019-10
wood and wood wastes,7.721,thousand megawatthours,CO,2019-10
onshore wind turbine,922.89323,thousand megawatthours,CO,2019-10
wind,922.89323,thousand megawatthours,CO,2019-10
renewable waste products,6.26857,thousand megawatthours,CO,2019-10
estimated total solar,157.98926,thousand megawatthours,CO,2019-10
estimated total solar photovoltaic,157.98926,thousand megawatthours,CO,2019-10
solar photovoltaic,113.09571,thousand megawatthours,CO,2019-09
renewable,1319.19767,thousand megawatthours,CO,2019-09
estimated small scale solar photovoltaic,58.64183,thousand megawatthours,CO,2019-09
biomass,13.64473,thousand megawatthours,CO,2019-09
wood and wood wastes,8.162,thousand megawatthours,CO,2019-09
onshore wind turbine,1041.07243,thousand megawatthours,CO,2019-09
wind,1041.07243,thousand megawatthours,CO,2019-09
renewable waste products,5.48273,thousand megawatthours,CO,2019-09
estimated total solar,171.73754,thousand megawatthours,CO,2019-09
estimated total solar photovoltaic,171.73754,thousand megawatthours,CO,2019-09
solar,113.09571,thousand megawatthours,CO,2019-09
biomass,14.74548,thousand megawatthours,CO,2019-08
wood and wood wastes,8.322,thousand megawatthours,CO,2019-08
onshore wind turbine,788.9513,thousand megawatthours,CO,2019-08
wind,788.9513,thousand megawatthours,CO,2019-08
renewable waste products,6.42348,thousand megawatthours,CO,2019-08
estimated total solar,198.67127,thousand megawatthours,CO,2019-08
estimated total solar photovoltaic,198.67127,thousand megawatthours,CO,2019-08
solar,136.02557,thousand megawatthours,CO,2019-08
solar photovoltaic,136.02557,thousand megawatthours,CO,2019-08
renewable,1129.36891,thousand megawatthours,CO,2019-08
estimated small scale solar photovoltaic,62.6457,thousand megawatthours,CO,2019-08
biomass,13.94546,thousand megawatthours,CO,2019-07
wood and wood wastes,7.828,thousand megawatthours,CO,2019-07
onshore wind turbine,895.82722,thousand megawatthours,CO,2019-07
wind,895.82722,thousand megawatthours,CO,2019-07
renewable waste products,6.11746,thousand megawatthours,CO,2019-07
